name,created_at
오전 (6:00 ~ 12:00),2025.1.12 23:49
오후 (12:00 ~ 18:00),2025.1.12 23:49
저녁 (18:00 ~ 22:00),2025.1.12 23:49
심야 (22:00 ~ 02:00),2025.1.12 23:49
새벽 (02:00 ~ 06:00),2025.1.12 23:49
