short_name,full_name,created_at
월,월요일,2025.1.12 23:46
화,화요일,2025.1.12 23:46
수,수요일,2025.1.12 23:46
목,목요일,2025.1.12 23:46
금,금요일,2025.1.12 23:46
토,토요일,2025.1.12 23:46
일,일요일,2025.1.12 23:46
